timestamp,open,high,low,close,volume
1788680760000,79823.42000000,79823.42000000,79823.42000000,79823.42000000,0.00000000
1788680820000,79823.42000000,79823.42000000,79823.42000000,79823.42000000,0.00000000
1788680880000,79823.42000000,79823.42000000,79823.42000000,79823.42000000,0.00000000
1788680940000,79839.95000000,79839.95000000,79839.95000000,79839.95000000,0.00038000
1788681000000,79839.95000000,79839.95000000,79839.95000000,79839.95000000,0.00000000
1788681060000,79839.95000000,79839.95000000,79839.95000000,79839.95000000,0.00000000
1788681120000,79812.18000000,79813.79000000,79812.18000000,79813.79000000,0.00138000
1788681180000,79816.15000000,79816.15000000,79816.15000000,79816.15000000,0.00021000
1788681240000,79816.15000000,79816.15000000,79816.15000000,79816.15000000,0.00000000
1788681300000,79816.15000000,79816.15000000,79816.15000000,79816.15000000,0.00000000
1788681360000,79825.22000000,79837.25000000,79825.22000000,79837.25000000,0.00134000
1788681420000,79851.76000000,79851.76000000,79851.76000000,79851.76000000,0.00009000
1788681480000,79823.30000000,79823.30000000,79823.30000000,79823.30000000,0.00069000
1788681540000,79823.30000000,79823.30000000,79823.30000000,79823.30000000,0.00000000
1788681600000,79823.30000000,79823.30000000,79823.30000000,79823.30000000,0.00000000
1788681660000,79823.30000000,79823.30000000,79823.30000000,79823.30000000,0.00000000
1788681720000,79803.41000000,79809.12000000,79803.41000000,79809.12000000,0.00012000
1788681780000,79809.12000000,79809.12000000,79809.12000000,79809.12000000,0.00000000
1788681840000,79809.12000000,79809.12000000,79809.12000000,79809.12000000,0.00000000
1788681900000,79851.76000000,79851.76000000,79851.76000000,79851.76000000,0.00009000
1788681960000,79821.81000000,79847.22000000,79821.81000000,79847.22000000,0.00021000
1788682020000,79847.22000000,79847.22000000,79847.22000000,79847.22000000,0.00000000
1788682080000,79847.22000000,79847.22000000,79847.22000000,79847.22000000,0.00000000
1788682140000,79851.77000000,79882.70000000,79851.77000000,79879.42000000,0.02508000
1788682200000,79862.32000000,79862.32000000,79862.32000000,79862.32000000,0.00009000
1788682260000,79892.07000000,79892.07000000,79892.07000000,79892.07000000,0.00009000
1788682320000,79892.07000000,79892.07000000,79892.07000000,79892.07000000,0.00000000
1788682380000,79854.18000000,79854.18000000,79854.18000000,79854.18000000,0.00009000
1788682440000,79854.18000000,79854.18000000,79854.18000000,79854.18000000,0.00000000
1788682500000,79854.18000000,79854.18000000,79854.18000000,79854.18000000,0.00000000
1788682560000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00009000
1788682620000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682680000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682740000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682800000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682860000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682920000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788682980000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683040000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683100000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683160000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683220000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683280000,79880.63000000,79880.63000000,79880.63000000,79880.63000000,0.00000000
1788683340000,79800.20000000,79805.87000000,79800.20000000,79805.87000000,0.00079000
1788683400000,79805.87000000,79805.87000000,79805.87000000,79805.87000000,0.00000000
1788683460000,79805.87000000,79805.87000000,79805.87000000,79805.87000000,0.00000000
1788683520000,79805.87000000,79805.87000000,79805.87000000,79805.87000000,0.00000000
1788683580000,79805.87000000,79805.87000000,79805.87000000,79805.87000000,0.00000000
1788683640000,79805.87000000,79805.87000000,79805.87000000,79805.87000000,0.00000000
1788683700000,79815.72000000,79815.72000000,79815.72000000,79815.72000000,0.00009000
1788683760000,79815.72000000,79815.72000000,79815.72000000,79815.72000000,0.00000000
1788683820000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00086000
1788683880000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788683940000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684000000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684060000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684120000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684180000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684240000,79791.06000000,79791.06000000,79791.06000000,79791.06000000,0.00000000
1788684300000,79764.63000000,79764.64000000,79764.63000000,79764.64000000,0.00020000
1788684360000,79764.64000000,79764.64000000,79764.64000000,79764.64000000,0.00000000
1788684420000,79764.64000000,79764.64000000,79764.64000000,79764.64000000,0.00000000
1788684480000,79764.64000000,79764.64000000,79764.64000000,79764.64000000,0.00000000
1788684540000,79781.42000000,79781.42000000,79768.56000000,79768.56000000,0.01589000
1788684600000,79768.56000000,79768.56000000,79768.56000000,79768.56000000,0.00000000
